pc,cn,hi,gi,year_range,label
10,13,2,2,9,1
1,1,1,1,1,1
1,0,0,0,1,1
1,15,1,1,1,1
36,115,6,6,29,0
40,136,7,7,20,0
4,10,2,2,18,1
1,12,1,1,1,1
8,1,1,1,7,1
4,37,3,4,4,1
3,28,2,3,4,1
147,6594,24,44,38,0
1,1,1,1,1,1
1,0,0,0,1,1
1,3,1,1,1,1
3,44,0,3,3,1
1,0,0,0,1,1
1,0,0,0,1,1
10,15,3,3,12,1
10,61,3,6,5,1
1,0,0,0,1,1
32,1056,8,32,16,0
13,16,2,2,9,1
2,1,1,1,1,1
2,3,1,1,1,1
3,15,2,3,2,1
1,0,0,0,1,1
6,78,4,6,4,1
2,3,1,1,1,1
21,33,4,4,20,0
1,7,1,1,1,1
38,107,6,6,14,0
1,0,0,0,1,1
1,0,0,0,1,1
9,94,4,9,11,1
59,102,5,5,8,1
6,58,2,6,3,1
5,6,2,2,7,1
101,476,10,10,27,0
3,3,1,1,4,1
4,6,2,2,1,1
2,1,1,1,1,1
4,131,0,4,4,1
1,1,1,1,1,1
1,0,0,0,1,1
5,3,1,1,11,1
7,6,1,1,15,1
8,19,3,3,4,1
1,0,0,0,1,1
17,37,3,3,9,1
2,1,1,1,5,1
16,66,5,5,8,1
5,9,2,2,3,1
3,13,2,3,4,1
13,48,5,5,11,1
2,0,0,0,1,1
74,1092,14,14,17,0
1,2,1,1,1,1
79,285,8,8,22,0
1,0,0,0,1,1
2,3,1,1,2,1
14,30,3,3,11,1
1,6,1,1,1,1
9,5,2,2,11,1
2,1,1,1,2,1
12,4,1,1,8,1
1,0,0,0,1,1
3,0,0,0,3,1
1,1,1,1,1,1
9,17,3,3,8,1
1,0,0,0,1,1
2,5,1,2,3,1
11,22,3,3,6,1
10,34,4,4,6,1
1,0,0,0,1,1
7,81,4,7,5,1
236,1101,16,16,21,0
14,8,2,2,7,1
1,0,0,0,1,1
16,19,3,3,13,1
3,24,2,3,2,1
3,3,1,1,3,1
57,152,7,7,33,0
1,0,0,0,1,1
1,0,0,0,1,1
48,53,4,4,14,0
6,24,2,4,13,1
7,14,3,3,8,1
1,0,0,0,1,1
1,2,1,1,1,1
1,2,1,1,1,1
6,42,3,6,5,1
21,28,3,3,9,0
1,0,0,0,1,1
77,849,13,13,9,0
4,37,1,4,10,1
1,5,1,1,1,1
8,19,3,3,7,1
8,3,1,1,3,1
173,8682,45,50,23,0
3,0,0,0,4,1
68,654,16,16,12,0
78,462,11,11,20,0
12,12,2,2,5,1
20,176,6,8,14,1
26,13,2,2,9,0
98,2173,28,28,20,0
18,38,4,4,14,1
14,6,2,2,16,1
1,0,0,0,1,1
4,18,2,4,8,1
1,0,0,0,1,1
47,173,8,8,12,0
1,1,1,1,1,1
2,5,1,2,1,1
13,23,2,2,12,1
26,206,7,7,11,0
33,251,8,8,13,0
28,199,9,9,13,0
2,2,1,1,2,1
3,2,1,1,4,1
5,190,3,5,7,1
9,1,1,1,5,1
4,0,0,0,2,1
11,26,3,3,7,1
13,14,2,2,9,1
2,10,0,2,1,1
2,1,1,1,1,1
3,19,2,3,1,1
4,4,1,1,5,1
3,2,1,1,1,1
1,0,0,0,1,1
21,195,5,9,20,0
30,235,6,7,18,0
5,24,2,4,7,1
40,1106,14,27,19,0
4,4,1,1,2,1
2,0,0,0,3,1
9,7,2,2,18,1
9,4,1,1,6,1
147,4180,34,34,23,0
1,17,1,1,1,1
7,14,1,2,7,1
1,0,0,0,1,1
147,2065,24,24,34,0
16,114,6,7,10,1
1,0,0,0,1,1
2,0,0,0,2,1
4,0,0,0,3,1
5,43,2,5,10,1
1,0,0,0,1,1
1,3,1,1,1,1
17,17,3,3,12,1
3,4,1,1,3,1
17,565,9,17,19,1
2,19,0,2,2,1
19,13,2,2,7,1
1,0,0,0,1,1
65,224,9,9,29,0
1,1,1,1,1,1
33,212,7,7,16,0
5,32,2,5,11,1
1,0,0,0,1,1
1,0,0,0,1,1
56,1104,14,19,10,0
1,1,1,1,1,1
7,6,2,2,2,1
5,2,1,1,5,1
42,1684,16,40,17,0
1,0,0,0,1,1
175,992,15,15,25,0
34,769,10,22,17,0
2,0,0,0,2,1
12,60,5,5,5,1
1,1,1,1,1,1
75,1169,20,20,11,0
5,409,4,5,5,1
1,0,0,0,1,1
7,49,3,7,8,1
11,1,1,1,6,1
24,77,6,6,17,0
5,2,1,1,9,1
1,2,1,1,1,1
5,3,1,1,4,1
22,466,8,21,13,0
1,0,0,0,1,1
2,3,1,1,1,1
7,10,2,2,7,1
2,26,1,2,1,1
84,927,13,13,18,0
1,5,1,1,1,1
1,0,0,0,1,1
3,11,2,3,3,1
56,369,8,8,12,0
1,0,0,0,1,1
1,0,0,0,1,1
1,49,1,1,1,1
1,0,0,0,1,1
6,71,3,6,8,1
8,34,3,4,4,1
7,88,5,7,5,1
1,0,0,0,1,1
3,10,2,3,1,1
43,77,5,5,12,0
2,0,0,0,1,1
1,1,1,1,1,1
3,1,1,1,3,1
12,169,8,12,8,1
1,0,0,0,1,1
2,0,0,0,2,1
5,22,2,4,5,1
15,78,5,5,13,1
1,4,1,1,1,1
6,2,1,1,8,1
3,769,0,3,4,1
1,0,0,0,1,1
14,25,2,2,11,1
9,7,2,2,6,1
1,10,1,1,1,1
23,41,3,3,7,1
92,855,14,14,23,0
1,1,1,1,1,1
3,18,2,3,1,1
10,29,4,4,7,1
2,0,0,0,2,1
3,1,1,1,5,1
17,139,6,8,11,1
4,2,1,1,1,1
2,1,1,1,3,1
3,9,1,3,6,1
1,0,0,0,1,1
1,21,1,1,1,1
7,45,3,6,15,1
3,0,0,0,3,1
3,4,1,1,6,1
58,1697,21,29,22,0
1,0,0,0,1,1
1,0,0,0,1,1
10,96,4,9,8,1
81,551,11,11,17,0
7,6,2,2,4,1
58,518,9,9,28,0
8,53,4,6,9,1
6,11,2,2,3,1
4,72,3,4,21,1
5,5,1,1,5,1
1,0,0,0,1,1
1,0,0,0,1,1
2,0,0,0,1,1
1,4,1,1,1,1
7,299,4,7,8,1
6,3,1,1,3,1
1,0,0,0,1,1
1,9,1,1,1,1
3,0,0,0,2,1
2,3,1,1,5,1
2,0,0,0,2,1
29,114,5,5,24,0
22,441,9,20,29,0
4,0,0,0,6,1
1,0,0,0,1,1
3,0,0,0,2,1
1,1,1,1,1,1
3,8,1,2,2,1
3,1,1,1,3,1
1,0,0,0,1,1
1,0,0,0,1,1
4,15,2,3,8,1
2,0,0,0,1,1
70,171,6,6,25,0
1,0,0,0,1,1
6,339,2,6,4,1
17,30,3,3,13,1
52,511,13,13,42,0
1,1,1,1,1,1
1,0,0,0,1,1
6,36,3,6,7,1
2,1,1,1,3,1
3,6,1,2,7,1
2,1,1,1,1,1
3,1,1,1,8,1
2,3,1,1,3,1
1,0,0,0,1,1
52,145,8,8,13,0
1,0,0,0,1,1
19,316,7,16,24,1
7,2,1,1,4,1
9,14,2,2,8,1
8,40,3,5,3,1
10,31,3,3,18,1
1,5,1,1,1,1
4,40,3,4,5,1
6,17,2,2,6,1
6,10,2,2,4,1
47,45,3,3,10,0
1,0,0,0,1,1
1,0,0,0,1,1
12,105,2,8,9,1
1,0,0,0,1,1
2,0,0,0,4,1
109,4849,29,44,18,0
6,27,2,4,7,1
6,12,3,3,7,1
15,19,2,2,7,1
1,3,1,1,1,1
22,61,4,4,10,0
19,53,4,4,18,1
4,13,2,3,4,1
20,109,4,5,8,1
3,16,2,3,7,1
8,21,2,2,7,1
14,52,2,3,6,1
2,0,0,0,3,1
6,8,1,1,5,1
46,1192,13,25,21,0
10,41,4,4,4,1
27,8,1,1,6,1
10,15,2,2,7,1
25,85,4,4,10,0
2,0,0,0,2,1
1,1,1,1,1,1
2,1,1,1,2,1
24,95,6,6,21,0
59,971,16,16,15,0
5,8,2,2,2,1
1,1,1,1,1,1
4,2,1,1,2,1
33,340,9,10,17,0
1,0,0,0,1,1
3,8,1,2,2,1
2,1,1,1,3,1
6,71,4,6,8,1
1,0,0,0,1,1
70,117,5,5,15,0
10,15,2,2,7,1
45,311,11,11,22,0
14,185,5,13,17,1
5,15,2,3,3,1
52,294,9,9,22,0
12,108,6,9,21,1
1,0,0,0,1,1
1,0,0,0,1,1
2,0,0,0,1,1
1,321,1,1,1,1
1,0,0,0,1,1
6,333,2,6,11,1
1,0,0,0,1,1
8,14,2,2,4,1
19,42,4,4,8,1
